product_id,product_type_code,product_name,product_price
1,Hardware,Apple,54753982.574522
2,Clothes,jcrew,30590929.528306
3,Hardware,Apple,10268.85297069
4,Hardware,Apple,22956668.699482
5,Clothes,jcrew,5927021.8748021
6,Hardware,Apple,77.109961147471
7,Hardware,Apple,450.39232520498
8,Hardware,Sony,4446237.9177554
9,Clothes,jcrew,622.79275984494
10,Hardware,Sony,7171.5933353284
11,Clothes,jcrew,149.95519076938
12,Clothes,gucci,593.80519929985
13,Clothes,gucci,11388.26282462
14,Hardware,Sony,389.91542644329
15,Clothes,gucci,310488248.48788
